job_id,strategy_name,timeframe,year,total_return_pct,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,initial_capital,total_fees,winning_trades,losing_trades,avg_win_pct,avg_loss_pct,has_open_position,total_equity,total_equity_return_pct,unrealized_pnl,open_position_direction,open_position_entry_price,open_position_unrealized_pct,stop_loss_pct,stop_loss_exits,risk_adjusted_return
sma_crossover_4h_2021,sma_crossover,4h,2021,-16.455144722326565,-0.0186728320461005,45.28188553497547,33.33333333333333,54,0.9039875425556376,8354.485527767343,10000.0,3086.841246418792,18,36,8.032408395712954,-4.121180358211476,False,8354.485527767343,-16.455144722326565,0.0,,0.0,0.0,,0,-0.36339354088108156
sma_crossover_4h_2022,sma_crossover,4h,2022,-60.23903793884099,-0.7699734131120308,60.27536823529349,29.72972972972973,74,0.37138890962411675,3976.096206115901,10000.0,2281.905860127085,22,52,2.6221338496205764,-2.7881770719466696,False,3976.096206115901,-60.23903793884099,0.0,,0.0,0.0,,0,-0.9993972613106122
sma_crossover_4h_2023,sma_crossover,4h,2023,46.89776373145173,0.43948803925399155,28.193800923556996,26.47058823529412,68,1.4120351126201243,14689.776373145174,10000.0,4452.432791095723,18,50,7.429100252239556,-1.7124380237490393,False,14689.776373145174,46.89776373145173,0.0,,0.0,0.0,,0,1.6634069261752806
sma_crossover_4h_2024,sma_crossover,4h,2024,62.56192334705788,0.49847683412922644,28.745095978916236,41.07142857142857,56,1.635728465991784,16256.192334705787,10000.0,3625.6139668428755,23,33,5.849318837312988,-2.304222466044219,False,16256.192334705787,62.56192334705788,0.0,,0.0,0.0,,0,2.1764381441949396
sma_crossover_4h_2025,sma_crossover,4h,2025,-25.77890441599787,-0.3008097865286464,37.629757789604774,30.508474576271187,59,0.6490810380919176,7422.109558400213,10000.0,2488.6380913747926,18,41,3.351186871626712,-2.1291049325968157,True,7452.402199447394,-25.475978005526056,30.29264104718088,long,91979.43,0.40916348936056274,,0,-0.6850669770486617
sma_crossover_8h_2021,sma_crossover,8h,2021,-7.215999678277019,0.05275006152833597,46.50706113208681,33.33333333333333,27,0.9419590793078759,9278.400032172298,10000.0,1635.0600757133855,9,18,12.339282185667996,-5.583733149626557,False,9278.400032172298,-7.215999678277019,0.0,,0.0,0.0,,0,-0.15515922749413322
sma_crossover_8h_2022,sma_crossover,8h,2022,-48.20159129834738,-0.8444158465378361,51.47499581184086,25.71428571428571,35,0.3727554674743239,5179.8408701652625,10000.0,1350.0124572963996,9,26,3.8810623483018656,-3.705545388564273,False,5179.8408701652625,-48.20159129834738,0.0,,0.0,0.0,,0,-0.9364078721743092
sma_crossover_8h_2023,sma_crossover,8h,2023,50.33422782945372,0.678622811798885,28.186954968658785,27.586206896551722,29,1.697358208050998,15033.422782945372,10000.0,1990.9099969084998,8,21,13.038453377018703,-2.4694791354378305,False,15033.422782945372,50.33422782945372,0.0,,0.0,0.0,,0,1.7857277554606588
sma_crossover_8h_2024,sma_crossover,8h,2024,55.37276757480514,0.6886287628281068,18.66130220953324,40.74074074074074,27,1.7510132471696451,15537.276757480515,10000.0,1772.119292784078,11,16,9.866315265211739,-3.4407903018314743,False,15537.276757480515,55.37276757480514,0.0,,0.0,0.0,,0,2.9672509963703186
sma_crossover_8h_2025,sma_crossover,8h,2025,-25.289317776365106,-0.45019748922441855,31.237264277110597,29.411764705882355,34,0.5768002520801248,7471.068222363489,10000.0,1432.4000108825376,10,24,4.206647606491051,-2.8540726020990035,False,7471.068222363489,-25.289317776365106,0.0,,0.0,0.0,,0,-0.8095881109184102
